date,max_temp,min_temp
2026-08-04,42.0,27.1
2026-08-05,39.2,26.1
2026-08-06,39.8,27.3
2026-08-07,40.6,28.7
2026-08-08,42.3,29.8
2026-08-09,40.4,29.6
2026-08-10,39.1,27.2
